feature,ganancia
dif_elo,14.789952278137207
dif_pos_tabla_camp,12.033856964111328
dif_ppp_camp,10.37900447845459
dif_pts_camp,10.301884078979493
fdr_dif,9.950479507446289
fdr_visita,7.861818885803222
local_es_ascendido,4.988326072692871
local_elo,4.943662643432617
local_xg_cond_u5,4.838923740386963
local_pos_tabla_camp,4.5054933547973635
fdr_local,4.326202917098999
local_ppp_camp,4.247865772247314
h2h_pts_visita,3.833640289306641
visita_pts_u5,3.760371732711792
local_xg_u5,3.740824747085571
visita_gf_u5_temp,3.7309693336486816
visita_xgc_u3,3.7179730892181397
dif_n_hist,3.7027126789093017
visita_es_ascendido,3.6121190547943116
local_corners_u3,3.611979675292969
dif_pts_med_u5,3.558835506439209
dif_xgc_u5,3.5182994842529296
visita_tiros_conc_u5,3.465231990814209
visita_elo,3.3805918216705324
visita_tiros_u3,3.3530082225799562
visita_xa_u5,3.325222969055176
visita_tiros_arco_conc_u5,3.264758062362671
local_xa_u3,3.2511290550231933
local_pts_u5,3.2248491764068605
local_corners_u5,3.2061581134796144
local_tiros_arco_u3,3.1945049285888674
visita_xgc_cond_u5,3.1900463104248047
local_tiros_u3,3.187339925765991
local_xg_u5_temp,3.1619304180145265
h2h_pts_local,3.1473209381103517
local_xgc_diff_u5,3.113697957992554
visita_xgc_u5,3.085105848312378
visita_gf_u5,3.078487682342529
dif_xg_u5,3.0762073040008544
dif_dias_descanso,3.0749847888946533
visita_xgc_u5_temp,3.0503344535827637
dif_gc_u5,3.034815216064453
local_tiros_conc_u5,3.018194484710693
local_tiros_u5,3.014288377761841
visita_pts_def_u5,2.992320919036865
visita_pts_med_u5,2.983828067779541
dif_pts_def_u5,2.9810183525085447
visita_dg_camp,2.954455280303955
dif_gf_u5,2.9542614459991454
local_xa_u5,2.95003457069397
visita_tarjetas_u5,2.944402885437012
visita_ppp_camp,2.943779468536377
visita_pts_arq_u5,2.937569808959961
h2h_gc_local,2.934005117416382
visita_xg_cond_u5,2.930859375
local_pts_del_u3,2.9266378402709963
local_dias_descanso,2.9238876342773437
visita_pts_u5_temp,2.921582555770874
local_gf_u5,2.9139789581298827
local_pts_camp,2.908231782913208
visita_pts_med_u5_temp,2.9060110092163085
visita_xg_diff_u5,2.9051767349243165
local_xg_u3,2.902471351623535
local_pts_cond_u5,2.887642478942871
visita_gc_cond_u5,2.885849952697754
h2h_cond_gc_local,2.8856099605560304
visita_tiros_u5,2.8849714279174803
local_xgc_cond_u5,2.8781518936157227
visita_pts_med_u3,2.8750038623809813
visita_xg_u3,2.841282606124878
visita_pts_def_u5_temp,2.829773950576782
visita_tiros_arco_u3,2.823433446884155
visita_gf_u3,2.7995203495025636
local_pts_del_u5,2.778992176055908
local_gf_u5_temp,2.7652994632720946
visita_xa_u3,2.7551133155822756
local_dg_camp,2.7491947174072267
dif_pts_u5,2.7258862972259523
local_xgc_u3,2.723834228515625
local_faltas_u3,2.7178138732910155
local_mins_hhi,2.7078362941741942
visita_partidos_14d,2.7013120651245117
local_gc_u5,2.69571430683136
local_pts_arq_u5,2.6942599773406983
local_pts_def_u5_temp,2.694116973876953
visita_pts_def_u3,2.6810226440429688
visita_continuidad_plantel_u5,2.6448256015777587
visita_xg_u5,2.641369581222534
visita_pts_del_u5,2.641217565536499
visita_pos_tabla_camp,2.6384636878967287
local_pts_u5_temp,2.63572154045105
visita_faltas_u3,2.6208740711212157
visita_tarjetas_u3,2.615176820755005
visita_tiros_arco_u5_temp,2.611773157119751
local_racha,2.6109670639038085
visita_dias_descanso,2.608230543136597
visita_xgc_diff_u5,2.5991390228271483
local_pts_def_u5,2.592294454574585
local_partidos_14d,2.5899680614471436
local_gf_camp,2.5725801467895506
local_tiros_arco_u5,2.564624786376953
visita_faltas_u5,2.56106014251709
local_faltas_u5,2.548848533630371
local_xg_diff_u5,2.5487831592559815
visita_tiros_arco_u5,2.542565679550171
local_pts_med_u5,2.5364925861358643
visita_mins_hhi,2.5342533111572267
visita_corners_u3,2.5316638946533203
local_dg_cond_u5,2.53092839717865
local_pts_med_u5_temp,2.5242509841918945
visita_pts_u3,2.502865433692932
local_tarjetas_u3,2.498048949241638
local_continuidad_plantel_u5,2.4943748474121095
dif_racha,2.487758684158325
visita_gf_cond_u5,2.48002028465271
visita_dg_cond_u5,2.4754546642303468
visita_pts_cond_u5,2.465615081787109
visita_gc_camp,2.457800054550171
local_pts_arq_u3,2.447184133529663
visita_xg_u5_temp,2.436233329772949
local_gc_cond_u5,2.435890483856201
local_tiros_arco_conc_u5,2.435689115524292
local_pts_med_u3,2.429942560195923
visita_corners_u5,2.3859755039215087
visita_n_jugadores_u5,2.3706901550292967
local_gc_u5_temp,2.360918569564819
local_pj_camp,2.357647204399109
local_pts_def_u3,2.3559306621551515
visita_pts_camp,2.3482736587524413
visita_racha,2.344341850280762
local_xgc_u5_temp,2.334212231636047
local_gf_cond_u5,2.326123833656311
local_xgc_u5,2.314450740814209
h2h_cond_gf_local,2.3132382154464723
h2h_gf_local,2.3107659339904787
local_n_jugadores_u5,2.2847654819488525
visita_gc_u3,2.282328224182129
local_gc_camp,2.2761098623275755
local_tiros_arco_u5_temp,2.250823163986206
visita_pj_camp,2.2470260143280028
local_pts_u3,2.2245394945144654
local_n_jugadores_u3,2.213444137573242
visita_pts_arq_u3,2.2070518493652345
visita_gf_camp,2.190667724609375
visita_n_jugadores_u3,2.1903199672698976
h2h_cond_pts_local,2.1845255851745606
local_gc_u3,2.177794575691223
visita_gc_u5_temp,2.1683950662612914
visita_n_hist,2.1426806926727293
gameweek,2.1360371589660643
visita_pts_del_u3,2.099064588546753
local_tarjetas_u5,2.039683723449707
local_gf_u3,1.9984180927276611
h2h_n,1.8358205318450929
local_n_hist,1.8307482719421386
h2h_cond_pts_visita,1.782260036468506
visita_gc_u5,1.7329057455062866
h2h_cond_n,1.0090618133544922
