feature,ganancia
dif_elo,21.148113250732422
fdr_dif,20.861593627929686
dif_pos_tabla_camp,18.53125915527344
dif_pts_camp,13.28425350189209
fdr_visita,13.074323654174805
dif_ppp_camp,11.776906967163086
dif_n_hist,7.817281723022461
local_es_ascendido,7.774048805236816
local_pos_tabla_camp,5.459361934661866
local_xg_cond_u5,5.317494487762451
fdr_local,5.232615566253662
local_elo,5.201603794097901
visita_es_ascendido,4.636571025848388
visita_gf_u5_temp,4.5469152450561525
visita_xgc_u3,4.476928043365478
local_tiros_conc_u5,4.47646656036377
local_tiros_arco_conc_u5,4.424532699584961
dif_pts_u5,4.38832540512085
visita_partidos_14d,4.268904495239258
local_dg_camp,4.2407896518707275
local_xg_u5,4.223868274688721
local_ppp_camp,4.222020816802979
visita_tiros_arco_u3,4.221002769470215
dif_xgc_u5,4.21941819190979
local_corners_u5,4.187943458557129
visita_pts_def_u5,4.155907726287841
local_xg_u5_temp,4.130530261993409
visita_dg_camp,4.1077797412872314
dif_pts_def_u5,4.092667818069458
local_dias_descanso,4.067657232284546
visita_tiros_u3,4.053075313568115
visita_xgc_u5_temp,4.042776441574096
dif_gc_u5,4.042749738693237
visita_xg_diff_u5,4.001004552841186
h2h_gc_local,4.00016975402832
local_pts_cond_u5,3.999521350860596
local_tiros_u5,3.9863704681396483
visita_xa_u5,3.985062503814697
visita_elo,3.952163314819336
dif_pts_med_u5,3.931853246688843
local_xgc_diff_u5,3.9256221294403075
visita_tiros_arco_conc_u5,3.916637897491455
visita_xgc_cond_u5,3.90751314163208
dif_xg_u5,3.8786449432373047
visita_xgc_u5,3.872545862197876
visita_dias_descanso,3.865568923950195
dif_gf_u5,3.8641243457794188
local_tiros_arco_u5,3.8446583271026613
visita_pts_med_u5_temp,3.800845193862915
h2h_pts_visita,3.7990548610687256
local_corners_u3,3.7954023361206053
visita_gc_cond_u5,3.770518350601196
visita_ppp_camp,3.767133903503418
visita_gf_cond_u5,3.750399351119995
local_pts_def_u5_temp,3.74119086265564
visita_n_hist,3.727465295791626
visita_tiros_u5,3.7051233768463137
dif_dias_descanso,3.6973221778869627
visita_gc_camp,3.694362497329712
visita_tiros_conc_u5,3.683369493484497
visita_pos_tabla_camp,3.6765629291534423
local_tiros_arco_u5_temp,3.67403883934021
visita_pj_camp,3.67037091255188
visita_pts_arq_u5,3.659319257736206
visita_mins_hhi,3.6585803985595704
h2h_cond_pts_local,3.656643772125244
visita_gc_u3,3.6492613315582276
local_mins_hhi,3.635855865478516
gameweek,3.597091817855835
h2h_pts_local,3.587367534637451
visita_pts_def_u5_temp,3.571039915084839
visita_continuidad_plantel_u5,3.570872974395752
visita_pts_u5_temp,3.5671474933624268
h2h_cond_n,3.5597529888153074
h2h_n,3.558207607269287
visita_gf_u5,3.5496496200561523
visita_pts_med_u3,3.548662281036377
local_xgc_cond_u5,3.5328550815582274
visita_faltas_u3,3.5326179027557374
local_xa_u5,3.5255667686462404
local_gf_cond_u5,3.5193819999694824
visita_xgc_diff_u5,3.5154536724090577
visita_pts_cond_u5,3.5116429328918457
local_gc_camp,3.5000707626342775
visita_pts_def_u3,3.4992347717285157
h2h_cond_gc_local,3.4928357124328615
visita_xg_u5_temp,3.4894295215606688
local_gc_cond_u5,3.485448694229126
visita_xa_u3,3.4785866737365723
local_n_hist,3.4731070518493654
local_pts_med_u5_temp,3.4713045597076415
visita_gf_camp,3.4689307689666746
local_gc_u5_temp,3.4541569709777833
local_dg_cond_u5,3.4479642868041993
visita_pts_camp,3.426948308944702
visita_gc_u5_temp,3.426752519607544
local_gf_u5_temp,3.423184061050415
local_pts_camp,3.4196900844573976
h2h_cond_pts_visita,3.419294738769531
local_pts_u5_temp,3.4174404621124266
visita_pts_arq_u3,3.4112854957580567
visita_pts_del_u5,3.4087291240692137
visita_xg_u3,3.4070338726043703
local_partidos_14d,3.3963653564453127
local_gf_camp,3.386974906921387
local_xa_u3,3.384691858291626
visita_gf_u3,3.378775119781494
local_pts_arq_u5,3.3618999481201173
visita_faltas_u5,3.3549601554870607
visita_tiros_arco_u5_temp,3.3535465240478515
local_pts_arq_u3,3.3449532985687256
local_tiros_u3,3.327717638015747
local_pts_def_u5,3.323534107208252
